"Region","Year","Population age 15 to 24","Population age 15 to 19","Population coverage (age 15 to 24)","Population coverage (age 15 to 19)","X10q15","X5q15","X5q20","Deaths.age.15to24.median","Deaths.age.15to19.median","Deaths.age.20to24.median"
"West and Central Africa",2005,35743456,19132147,100,100,30.6329504746606,13.2194865200439,17.6467448604217,110074,50921,59153
"World",2005,576477857,300142332,100,100,11.9639169459377,5.19367478438683,6.80558817323918,690012,312592,377420
"South Asia",2006,148186538,77512979,100,100,16.2650342350347,7.14428413754886,9.18638020788659,241593,111151,130442
"Sub-Saharan Africa",2006,79372921,42637502,100,100,31.8315088955198,12.8487295934546,19.2298585547555,252933,110274,142659
"Europe and Central Asia",2006,63331419,31213101,100,100,4.42510616819225,1.912332892329,2.51758774171105,28142,11946,16196
"Middle East and North Africa",2006,37660934,19324129,100,100,5.96801389561274,2.73892905496767,3.23795336519562,22502,10605,11897
"Latin America and Caribbean",2006,52389864,26777285,100,100,5.96843022468929,2.73104621110693,3.2462496714478,31299,14644,16655
"East Asia and Pacific",2006,178979707,92933919,100,100,4.72613721692805,2.13284231972778,2.59883780846023,84465,39682,44783
"North America",2006,22935451,11624469,100,100,4.10292139508517,1.77356069232555,2.33349930540313,9409,4127,5282
"Eastern and Southern Africa",2006,42730951,23021315,100,100,33.0749570083213,12.6348457495195,20.7016737129214,141003,58544,82459
"Eastern Europe and Central Asia",2006,34548226,17237949,100,100,6.14111047599208,2.58194682962392,3.56837700606595,21290,8909,12381
"Western Europe",2006,28783193,13975152,99.99,99.99,2.37205485675729,1.08570379854716,1.28774917237819,6852,3037,3815
"West and Central Africa",2006,36641970,19616187,100,100,30.3934310238233,13.099682322828,17.5232983425307,111930,51730,60200
"World",2006,582856834,302023384,100,100,11.4906849194,4.99432846843339,6.52896424295457,670343,302429,367914
"South Asia",2007,150225396,78295671,100,100,15.5792687106074,6.94610050904151,8.69355450493799,234756,109149,125607
"Sub-Saharan Africa",2007,81376887,43610401,100,100,30.5899934475065,12.4336830737291,18.384902423857,249281,109125,140156
"Europe and Central Asia",2007,62902525,30622626,100,100,4.28706787106148,1.85921220397527,2.43237797390001,27125,11396,15729
"Middle East and North Africa",2007,38259627,19410499,100,100,5.89535851442591,2.6931051440572,3.21090066346255,22605,10474,12131
"Latin America and Caribbean",2007,52624774,26851732,100,100,5.92056838484512,2.71308533142429,3.21620890261732,31194,14589,16605
"East Asia and Pacific",2007,178022058,90715578,100,100,4.57301012307321,2.06471085395299,2.51348889692705,81443,37498,43945
"North America",2007,23160092,11781429,100,100,4.00405288695993,1.7186019001809,2.28938552909956,9266,4053,5213
"Eastern and Southern Africa",2007,43820390,23483523,100,100,31.2183894302457,12.0196357259281,19.4323231498877,136609,56794,79815
"Eastern Europe and Central Asia",2007,34242811,16688256,100,100,5.9613420596849,2.53838191752835,3.43167103385594,20556,8479,12077
"Western Europe",2007,28659714,13934370,99.99,99.99,2.28354877670411,1.04514757777903,1.23969686510086,6569,2917,3652
"West and Central Africa",2007,37556497,20126878,100,100,29.8562702824959,12.9165648947058,17.1613713545737,112671,52331,60340
"World",2007,586571359,301287936,100,100,11.1529470153096,4.90489936294846,6.27884475399496,655676,296285,359391
"South Asia",2008,151981650,78986684,100,100,14.8804773704513,6.70302321450637,8.23263771768321,226926,106246,120680
"Sub-Saharan Africa",2008,83396437,44601682,100,100,29.466088620703,12.0766247813785,17.6020370359961,246139,108378,137761
"Europe and Central Asia",2008,62254428,29869383,100,100,4.09517422433769,1.76352430296719,2.33576910695679,25696,10543,15153
"Middle East and North Africa",2008,38687239,19429951,100,100,5.82504090271307,2.64678238100781,3.18669300460356,22603,10305,12298
"Latin America and Caribbean",2008,52816544,26907867,100,100,5.90233256302808,2.71391903101901,3.19709017588119,31217,14625,16592
"East Asia and Pacific",2008,176669703,87866699,100,100,4.84208581621404,2.22004731314904,2.62787250435755,85816,39060,46756
"North America",2008,23369624,11886034,100,100,3.81776210346529,1.60017801612645,2.22113830402369,8911,3806,5105
"Eastern and Southern Africa",2008,44910621,23942474,100,100,29.473257348879,11.4671424643835,18.2149887555424,132290,55225,77065
"Eastern Europe and Central Asia",2008,33700229,16035459,100,100,5.6738791124521,2.40800424097757,3.27375809485082,19323,7729,11594
"Western Europe",2008,28554199,13833924,99.99,99.99,2.22358617513618,1.01590373452282,1.20891057738364,6373,2814,3559
"West and Central Africa",2008,38485816,20659208,100,100,29.4473067280173,12.7825018887586,16.880580896451,113850,53153,60697
"World",2008,589175625,299548300,100,100,10.9469789468095,4.87811960877534,6.09860908258623,647325,292967,354358
"South Asia",2009,153720837,79652439,100,100,14.3076544486636,6.48679095797127,7.87192703581008,220743,103673,117070
"Sub-Saharan Africa",2009,85421657,45605250,100,100,28.2461718255391,11.6936882792699,16.7483333354918,241777,107281,134496
"Europe and Central Asia",2009,61372131,29033767,100,100,3.97012889334991,1.69733256547275,2.27666057801665,24611,9863,14748
"Middle East and North Africa",2009,38839958,19358955,100,100,5.68602804389706,2.58228668953864,3.11177685431008,22163,10016,12147
"Latin America and Caribbean",2009,52972333,26940567,100,100,5.97974622707487,2.74653639223735,3.24211442008004,31726,14819,16907
"East Asia and Pacific",2009,175298674,84740486,100,100,4.33407012434772,1.97449482254943,2.36424348832521,76365,33494,42871
"North America",2009,23524771,11905947,100,100,3.77654366973401,1.55892861361646,2.22107755747495,8879,3715,5164
"Eastern and Southern Africa",2009,45974781,24398133,100,100,27.6777660588795,10.9070150976373,16.955686894188,127303,53510,73793
"Eastern Europe and Central Asia",2009,33008629,15383798,100,100,5.49976105403316,2.33317407669919,3.17399245424789,18400,7186,11214
"Western Europe",2009,28363502,13649969,99.99,99.99,2.17964681227267,0.980184492177838,1.20063916798796,6210,2677,3533
"West and Central Africa",2009,39446876,21207117,100,100,28.8930473536655,12.5979620877531,16.5029892994414,114473,53771,60702
"World",2009,591150361,297237411,100,100,10.5441956233068,4.74697372747244,5.82487241214056,626270,282862,343408
"South Asia",2010,155426534,80345312,100,100,13.7384855707045,6.21168918346869,7.57384274428778,214285,100125,114160
"Sub-Saharan Africa",2010,87510327,46685184,100,100,27.1666573303018,11.3849202232411,15.9634800539603,238296,106908,131388
"Europe and Central Asia",2010,60347120,28188838,100,100,3.75981022941962,1.61676948330408,2.14651115985441,22947,9126,13821
"Middle East and North Africa",2010,38802372,19202273,100,100,5.51625898106001,2.51918050254673,3.00464772848785,21486,9688,11798
"Latin America and Caribbean",2010,53107910,26953681,100,100,7.45166023870802,3.50006417370718,3.96547548367296,39690,18901,20789
"East Asia and Pacific",2010,173177749,80954368,100,100,4.22353953945198,1.94050594738942,2.28747244594847,73689,31448,42241
"North America",2010,23630480,11845377,100,100,3.60895729299837,1.42822892358444,2.18384740344019,8537,3386,5151
"Eastern and Southern Africa",2010,47037500,24892618,100,100,26.1145115964557,10.4327401172706,15.8471001567328,122956,52211,70745
"Eastern Europe and Central Asia",2010,32256712,14778403,100,100,5.20975291975145,2.22745969458827,2.98895099302927,17059,6594,10465
"Western Europe",2010,28090408,13410435,99.99,99.99,2.08470365298496,0.943298024072026,1.14248333118182,5887,2532,3355
"West and Central Africa",2010,40472827,21792566,100,100,28.3720553440778,12.4714360610783,16.101427202852,115340,54697,60643
"World",2010,592002492,294175033,100,100,10.3946669674525,4.74072013977601,5.68087828175843,618938,279584,339354
"South Asia",2011,157042409,81027647,100,100,13.0777515049475,5.91794196486674,7.20243312129847,206079,96186,109893
"Sub-Saharan Africa",2011,89625045,47832642,100,100,26.0947197544923,11.0646350721935,15.19824774736,234442,106436,128006
"Europe and Central Asia",2011,59214547,27410319,100,100,3.5950411865775,1.54518105203735,2.0530324413678,21553,8478,13075
"Middle East and North Africa",2011,38555494,18959633,100,100,5.29767608720444,2.4543105257524,2.85036123302851,20508,9321,11187
"Latin America and Caribbean",2011,53266753,26966166,100,100,5.84289286571382,2.69012267981548,3.16127440186382,31183,14529,16654
"East Asia and Pacific",2011,170167631,77827425,100,100,4.13713894712364,1.91176362986829,2.22963785781968,71009,29785,41224
"North America",2011,23725798,11729889,100,100,3.46868879356355,1.38013419504823,2.09144106784992,8262,3239,5023
"Eastern and Southern Africa",2011,48059530,25418297,100,100,24.7014765619603,10.0099214541273,14.840103377008,118842,51141,67701
"Eastern Europe and Central Asia",2011,31416757,14246966,100,100,5.00035708353253,2.14131921530397,2.86517311848228,15962,6108,9854
"Western Europe",2011,27797790,13163353,99.99,99.99,1.99780557227935,0.899515055448136,1.09927933514329,5591,2370,3221
"West and Central Africa",2011,41565515,22414345,100,100,27.6893320371133,12.2593485403115,15.621492822027,115600,55295,60305
"World",2011,591597677,291753721,100,100,9.96310010675117,4.58199891751182,5.40587088377713,593040,267976,325064
"South Asia",2012,158597968,81668645,100,100,12.3977256089124,5.63112690762231,6.80491805847333,197293,92236,105057
"Sub-Saharan Africa",2012,91710121,48975915,100,100,25.0653592054535,10.7838076156212,14.4372400085854,230491,106202,124289
"Europe and Central Asia",2012,57937768,26729282,100,100,3.3984137605475,1.47936366202062,1.92189327760403,19924,7914,12010
"Middle East and North Africa",2012,38078140,18635156,100,100,5.37812673838634,2.51465596376494,2.87068957127192,20572,9388,11184
"Latin America and Caribbean",2012,53370988,26958119,100,100,5.77687336307375,2.65374411027454,3.1314392913754,30897,14328,16569
"East Asia and Pacific",2012,166160168,75936976,100,100,3.99588991305655,1.83917582924838,2.16068796889513,66989,27958,39031
"North America",2012,23806313,11598678,100,100,3.46951744093327,1.35096503533618,2.1214183676371,8320,3136,5184
"Eastern and Southern Africa",2012,49022040,25934953,100,100,23.3903134173233,9.64195343156173,13.882211623765,114801,50255,64546
"Eastern Europe and Central Asia",2012,30423743,13761074,100,100,4.72624828752222,2.06347795379791,2.66827626296762,14591,5685,8906
"Western Europe",2012,27514025,12968208,99.99,99.99,1.92433588223551,0.859111794032399,1.06614002166982,5332,2230,3102
"West and Central Africa",2012,42688081,23040962,100,100,26.9744780336518,12.0675146676697,15.0890507067067,115689,55947,59742
"World",2012,589661466,290502771,100,100,9.68442276394166,4.48486839221554,5.22297874400831,574492,261166,313326
"South Asia",2013,159963067,82272351,100,100,11.812359886515,5.41108001151965,6.43610616039181,189606,89278,100328
"Sub-Saharan Africa",2013,93831613,50144413,100,100,24.2583907413525,10.5020693381373,13.9023245799147,228198,105877,122321
"Europe and Central Asia",2013,56651690,26196840,100,100,3.24741367937287,1.40973032837294,1.84027764621026,18613,7392,11221
"Middle East and North Africa",2013,37671634,18376342,100,100,5.31067806141416,2.52044488420207,2.7972835762916,20098,9280,10818
"Latin America and Caribbean",2013,53437052,26937264,100,100,5.71279846846018,2.63228492267237,3.08864373612595,30596,14200,16396
"East Asia and Pacific",2013,161811657,74345934,100,100,3.90117868761974,1.78894689378372,2.11601723629807,63677,26622,37055
"North America",2013,23840782,11505563,100,100,3.50988102238703,1.3506074432975,2.16219385420286,8449,3110,5339
"Eastern and Southern Africa",2013,50038562,26487620,100,100,22.3027628569232,9.29511234843021,13.1296924751499,111723,49470,62253
"Eastern Europe and Central Asia",2013,29456952,13392008,100,100,4.50755425221816,1.9611861199943,2.55137184727777,13467,5258,8209
"Western Europe",2013,27194738,12804832,99.99,99.99,1.87749296882955,0.832612458013672,1.04575121630661,5145,2134,3011
"West and Central Africa",2013,43793051,23656793,100,100,26.4814675346211,11.8517180705095,14.8052167186337,116475,56407,60068
"World",2013,587207495,289778707,100,100,9.46944487802892,4.4032887907416,5.0885624974936,559245,255761,303484
"South Asia",2014,161204838,82863565,100,100,11.2444886905129,5.19395199671832,6.08212696931107,181892,86302,95590
"Sub-Saharan Africa",2014,96096980,51421109,100,100,23.5114148252861,10.2456402677741,13.4030978768318,226474,105907,120567
"Europe and Central Asia",2014,55388236,25780103,100,100,3.13062704473133,1.37807886270466,1.75496666449173,17511,7109,10402
"Middle East and North Africa",2014,37278564,18208552,100,100,5.12901700972745,2.47187708443785,2.66372432440627,19180,9013,10167
"Latin America and Caribbean",2014,53460297,26897080,100,100,5.67450166404004,2.61081167132883,3.07170964811145,30407,14063,16344
"East Asia and Pacific",2014,157326964,72892751,100,100,3.82957695909014,1.74720586186127,2.08601579625597,60757,25493,35264
"North America",2014,23807497,11457414,100,100,3.54240017765861,1.36194490442247,2.18342898321404,8521,3123,5398
"Eastern and Southern Africa",2014,51100299,27093330,100,100,21.3782856341035,9.00942940402918,12.4813056723999,109342,49038,60304
"Eastern Europe and Central Asia",2014,28532443,13084287,100,100,4.34650755135602,1.92373995510154,2.42743735448185,12548,5039,7509
"Western Europe",2014,26855793,12695816,99.99,99.99,1.83527441067122,0.815360911377434,1.0207457754996,4963,2070,2893
"West and Central Africa",2014,44996681,24327779,100,100,25.9250839881505,11.6205764403382,14.4726885311863,117133,56869,60264
"World",2014,584563376,289520574,100,100,9.26967002262846,4.32566913370793,4.96547991211039,544741,251011,293730
"South Asia",2015,162480346,83482904,100,100,10.7529861276364,5.03550903710419,5.74641320616282,175318,84280,91038
"Sub-Saharan Africa",2015,98508956,52778452,100,100,22.8017508792256,9.97136148665457,12.9596143924055,225094,105784,119310
"Europe and Central Asia",2015,54250738,25473435,100,100,3.04491917242311,1.34898543525318,1.69822461744461,16662,6878,9784
"Middle East and North Africa",2015,36996746,18235831,100,100,4.97739826654364,2.41320711117255,2.57039404856759,18447,8807,9640
"Latin America and Caribbean",2015,53446816,26842086,100,100,5.65363808192898,2.58679882055368,3.07479313262424,30289,13904,16385
"East Asia and Pacific",2015,152523930,71818649,100,100,3.77644683090783,1.70965274475017,2.07033363774392,58031,24578,33453
"North America",2015,23717571,11463078,100,100,3.69153433788483,1.4287864999813,2.26598544731979,8837,3278,5559
"Eastern and Southern Africa",2015,52221935,27733809,100,100,20.5475161773766,8.73437411316755,11.9172316236029,107382,48660,58722
"Eastern Europe and Central Asia",2015,27706165,12824106,100,100,4.23168170556576,1.89074044340551,2.34537575896262,11842,4854,6988
"Western Europe",2015,26544573,12649329,99.99,99.99,1.8031883165549,0.799397121008611,1.00459426530978,4819,2024,2795
"West and Central Africa",2015,46287021,25044643,100,100,25.3387270547564,11.339378249039,14.15991341996,117711,57124,60587
"World",2015,581925103,290094435,100,100,9.11074916643073,4.25713224615523,4.87436774839692,532668,247508,285160
"South Asia",2016,163823882,84218662,100,100,10.0780416265548,4.78041785245516,5.32307027426857,165665,80707,84958
"Sub-Saharan Africa",2016,101084746,54207760,100,100,22.15949749665,9.7018651784403,12.5796786646017,224372,105694,118678
"Europe and Central Asia",2016,53230369,25232078,100,100,2.94667076240385,1.31873636024289,1.63008405327225,15793,6659,9134
"Middle East and North Africa",2016,36773468,18326020,100,100,4.88679746972942,2.38446971709834,2.50830873885994,17990,8745,9245
"Latin America and Caribbean",2016,53391622,26769693,100,100,5.63707663395241,2.57292002882163,3.07206077182048,30176,13793,16383
"East Asia and Pacific",2016,148628777,71003854,100,100,3.72729729307186,1.67153916898519,2.05920015780724,55762,23759,32003
"North America",2016,23601124,11501892,100,100,3.7566974614538,1.43655698255094,2.32347828786109,8935,3307,5628
"Eastern and Southern Africa",2016,53441725,28411719,100,100,19.8783322115383,8.48114203226514,11.4946781775119,106266,48397,57869
"Eastern Europe and Central Asia",2016,26977888,12620748,100,100,4.06803352559404,1.85237255676809,2.21977281507094,11058,4680,6378
"Western Europe",2016,26252481,12611330,99.99,99.99,1.79259716222835,0.784370830552794,1.00901777578628,4734,1980,2754
"West and Central Africa",2016,47643021,25796041,100,100,24.713291126586,11.0446370806043,13.8213053475253,118106,57297,60809
"World",2016,580533988,291259959,100,100,8.89803601529471,4.15730768495512,4.76051927370052,518685,242663,276022
"South Asia",2017,165280111,85025589,100,100,9.50262587934747,4.53608460821042,4.98917258008521,157578,77308,80270
"Sub-Saharan Africa",2017,103714438,55735548,100,100,21.5204885487155,9.40989673203302,12.2256337679222,223425,105389,118036
"Europe and Central Asia",2017,52392944,25042513,100,100,2.85081357442352,1.27706382593397,1.57576209726226,15028,6400,8628
"Middle East and North Africa",2017,36684211,18440923,100,100,4.7288735369887,2.30065164908516,2.43382126280531,17355,8490,8865
"Latin America and Caribbean",2017,53339549,26684346,100,100,5.56131210176725,2.51759316297077,3.05140112540738,29747,13454,16293
"East Asia and Pacific",2017,146052490,70263922,100,100,3.67534605918285,1.63989484764435,2.03879462033179,54000,23064,30936
"North America",2017,23529182,11556877,100,100,3.82245643500745,1.41028576488158,2.41557732444048,9053,3262,5791
"Eastern and Southern Africa",2017,54596006,29107459,100,100,19.2414784428518,8.21775987632765,11.1150594561459,105016,48037,56979
"Eastern Europe and Central Asia",2017,26406369,12493423,100,100,3.91240236237556,1.78055109595859,2.13565390732224,10401,4453,5948
"Western Europe",2017,25986575,12549090,99.99,99.99,1.77042509864789,0.775516555964035,0.995680709558449,4626,1947,2679
"West and Central Africa",2017,49118432,26628089,100,100,24.0497451533237,10.7114032479876,13.4827611974179,118409,57352,61057
"World",2017,580992925,292749718,100,100,8.68001777354765,4.04604355464171,4.65279964893663,506173,237369,268804
"South Asia",2018,166635633,85688843,100,100,8.96745529334286,4.27070641205865,4.71689334795038,149878,73343,76535
"Sub-Saharan Africa",2018,106540703,57400679,100,100,20.9522951321516,9.11788941800406,11.9433034341458,223231,105150,118081
"Europe and Central Asia",2018,51701294,24907789,100,100,2.77599042796028,1.25549504783641,1.5224067542646,14427,6261,8166
"Middle East and North Africa",2018,36789382,18676438,100,100,4.79630804963904,2.33230469836123,2.46976359250853,17649,8716,8933
"Latin America and Caribbean",2018,53195640,26530268,100,100,5.48482941870776,2.45793825398592,3.03434940820825,29269,13061,16208
"East Asia and Pacific",2018,143962511,69732272,100,100,3.62522048112179,1.60385195000699,2.02461571497728,52476,22387,30089
"North America",2018,23514957,11622112,100,100,3.87308937696906,1.44490598416777,2.43169696629952,9152,3361,5791
"Eastern and Southern Africa",2018,55906481,29885876,100,100,18.6796401657485,7.9589322959515,10.8067178051498,104302,47760,56542
"Eastern Europe and Central Asia",2018,25900043,12403656,100,100,3.81053809602416,1.74795517437424,2.06619453708231,9924,4340,5584
"Western Europe",2018,25801251,12504133,99.99,99.99,1.73609060759061,0.766713351701408,0.970121060659178,4502,1920,2582
"West and Central Africa",2018,50634222,27514803,100,100,23.4589852952382,10.3751921259899,13.2209632025655,118929,57391,61538
"World",2018,582340120,294558401,100,100,8.49070630311854,3.93520834289242,4.57349561833964,496071,232281,263790
"South Asia",2019,167756517,86146859,100,100,8.4175528155872,3.95383316325485,4.4814385125424,141555,68253,73302
"Sub-Saharan Africa",2019,109546334,59130533,100,100,20.3816122297473,8.81134289773814,11.6731252411976,223058,104667,118391
"Europe and Central Asia",2019,51238032,24885886,100,100,2.73093432994098,1.24154719310035,1.49123857991388,14051,6185,7866
"Middle East and North Africa",2019,37105209,18996652,100,100,4.77256280276517,2.32691062010578,2.45135626959668,17723,8847,8876
"Latin America and Caribbean",2019,52980327,26338146,100,100,5.40914265768688,2.40615511543458,3.01023062406706,28756,12690,16066
"East Asia and Pacific",2019,142247563,69460288,100,100,3.57631959179772,1.56988032471276,2.00959408930643,51111,21826,29285
"North America",2019,23548515,11687184,100,100,3.96840616171068,1.45865399923425,2.51341837023385,9383,3412,5971
"Eastern and Southern Africa",2019,57359028,30712099,100,100,18.110541550223,7.67731339862366,10.5139470179123,103668,47340,56328
"Eastern Europe and Central Asia",2019,25528520,12392085,100,100,3.75043348828019,1.73146072194454,2.02247460166965,9615,4296,5319
"Western Europe",2019,25709512,12493801,99.99,99.99,1.71748488153278,0.755347443821034,0.96286473512824,4435,1889,2546
"West and Central Africa",2019,52187306,28418434,100,100,22.8763371818624,10.0354498598808,12.9710577213741,119390,57327,62063
"World",2019,584422497,296645548,100,100,8.28630277516396,3.80008301018928,4.50333280345027,485634,225881,259753
"South Asia",2020,168628014,86327192,100,100,7.9448391374991,3.62518123593612,4.33537441955959,134216,62704,71512
"Sub-Saharan Africa",2020,112703663,60913693,100,100,19.8379147937847,8.52488315566342,11.4103031391533,223166,104302,118864
"Europe and Central Asia",2020,50944503,24945627,100,100,2.72358288420715,1.23717363836181,1.4882504700942,13927,6177,7750
"Middle East and North Africa",2020,37530204,19348859,100,100,4.66426368363693,2.27067973754277,2.39903137803395,17511,8791,8720
"Latin America and Caribbean",2020,52762241,26171124,100,100,5.37190990145009,2.33076844485305,3.04824621268175,28453,12215,16238
"East Asia and Pacific",2020,140935898,69227680,100,100,3.5308195923146,1.53346959042043,2.0004175814234,49967,21248,28719
"North America",2020,23615460,11734676,100,100,4.22244692117135,1.55358592026251,2.67301375744703,10008,3649,6359
"Eastern and Southern Africa",2020,58916085,31582352,100,100,17.6431749874697,7.43811239073311,10.2815378306707,103655,47159,56496
"Eastern Europe and Central Asia",2020,25260652,12446826,100,100,3.76509385868773,1.73227365492723,2.03634771525996,9546,4317,5229
"Western Europe",2020,25683851,12498801,99.99,99.99,1.69839230758639,0.74385111076167,0.955251761908805,4380,1860,2520
"West and Central Africa",2020,53787578,29331341,100,100,22.2412727253849,9.69373263873486,12.6703631999459,119511,57143,62368
"World",2020,587119983,298668851,100,100,8.10991145632534,3.66105547405998,4.46520333939388,477246,219084,258162
"South Asia",2021,169462242,86210788,100,100,7.60106467021737,3.37137886245735,4.24399391915153,129037,58227,70810
"Sub-Saharan Africa",2021,116024476,62766232,100,100,19.3378214730301,8.23449478950456,11.1955161025376,223717,103795,119922
"Europe and Central Asia",2021,50811991,25096765,100,100,2.73796410188831,1.24604493232451,1.49378048716985,13949,6260,7689
"Middle East and North Africa",2021,37825402,19660479,100,100,4.67467769091112,2.26467148304584,2.41547646854151,17688,8912,8776
"Latin America and Caribbean",2021,52559314,26027243,100,100,5.29195169374619,2.26390578897481,3.03491667019006,27929,11800,16129
"East Asia and Pacific",2021,140112319,69213787,100,100,3.48775225426801,1.50276113048061,1.98797858072674,49023,20816,28207
"North America",2021,23704670,11765942,100,100,4.54490257633378,1.67122659030203,2.87848658935974,10818,3936,6882
"Eastern and Southern Africa",2021,60509204,32470404,100,100,17.2201838667603,7.20148040932198,10.0913763062106,103814,46936,56878
"Eastern Europe and Central Asia",2021,25150196,12559797,100,100,3.81259254223232,1.75604889237862,2.0601613939878,9607,4415,5192
"Western Europe",2021,25661795,12536968,99.99,99.99,1.68422939118218,0.73481218372027,0.95011536380717,4341,1844,2497
"West and Central Africa",2021,55515272,30295828,100,100,21.6460978944591,9.3404685636092,12.4216533938836,119902,56859,63043
"World",2021,590500414,300741236,100,100,7.98128574144619,3.54742751261303,4.44964301488544,472155,213746,258409
